"contract_id","execution_order","catalog_order","stack_id","seed","homology_dimension","disposition","worker_exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","process_tree_rss_cap_bytes","stderr_bytes","partition_rows","quality_rows","partitions_sha256","quality_sha256","status_sha256","workers","retries","labels_used","outcomes_used","biological_outcomes_computed"
"mv10e_resource_ledger_v1",1,1,"existing_selectedfit_data_exact500",20260805,"H0","completed",0,3.17563605308533,100945920,1800,4294967296,0,5580,45,"243a6f530ef5bd2c417eab4c4ef8d30ba11d6ab4bd354b79f4fafa59bbb3ab29","072afc30e4eaf7d1713e939f4b6fbd34b7e109ae37885dcb103081faa560f269","92344302b9b5cb054b015dfbf71eb1a3646f611f0afad38470eb848772c9d1f0",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",2,2,"existing_selectedfit_data_exact500",20260805,"H1","completed",0,3.15788412094116,100790272,1800,4294967296,0,5580,45,"5331d0d3d83a769106b8b76fe568a151b732a9e7b400edb82c95bb23b0cfb156","866713a383b0de9f50e398fca42ade20500283ecd6f1bc95833669ebc9e3c81e","00b267540251da346607288cf1c196194a996b32bd0c1e55a78d4da8e5028b29",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",3,3,"existing_selectedfit_data_exact500",20260806,"H0","completed",0,3.05003619194031,100950016,1800,4294967296,0,5580,45,"3e4bdb4740125072656f926f1aed58ba587e1b6fe70ee3c4fc04015de298fde3","c9d481d272d3cbb10469035abb6ee70b040c9346713f424d00047b63fd40aee7","17899768933b8f1904466cf66c758e9e26b68e771527273f26b4a9c35f7e12d1",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",4,4,"existing_selectedfit_data_exact500",20260806,"H1","completed",0,3.20110273361206,100814848,1800,4294967296,0,5580,45,"b9079e076b3c38f7869b328d4ae978e1c11b7c99569cf59f04acd63c45ab81f5","b5d24de752fcba1386d3c4c50205c8697192b424f5e46db206fa426db396de69","fe41848cbfbbb87f3b8b9efd470332c1546948a901f4027191ed4df4099c846f",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",5,5,"existing_selectedfit_data_exact500",20260807,"H0","completed",0,3.16488003730774,100851712,1800,4294967296,0,5580,45,"c02cad1fa392f154c97a23c352051fc2f5c3a26b3ff08fc9fcaf6f62309b1ac6","f40ea8ee28b54d563f67cb04bc408b580cdbbba6571e553602dc385a7efbe72b","69600fcdf751427825c769eed16a3eb5ebc79dccf9d06845109c61b97e3cf8cb",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",6,6,"existing_selectedfit_data_exact500",20260807,"H1","completed",0,2.94490551948547,100937728,1800,4294967296,0,5580,45,"029d8afc3d98a064468a22215395d4e1f74db4f29d047fd2af206913f46ecd8b","14706a8c1ea2d28c1f1bfd2e8d0b575173fa639021f2814668d6eafba76f12be","d5f68f9fbae75c821c351cbb254cd01e6cbf9f7705ce9be3105e1eeb4c0e5104",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",7,7,"existing_selectedfit_data_exact500",20260808,"H0","completed",0,3.28775238990784,100986880,1800,4294967296,0,5580,45,"5530f70531c006bcc77b04f74cf21f83e8294777823adac0caca0b68dc40d0bd","7079dcf3f6817174f39fc3fd7f34784db64da0d964f6d438f810fa6b37ca9a23","b844003c6c94272090044b48ced73923a41237d094baa02a4eb180eda8ed9850",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",8,8,"existing_selectedfit_data_exact500",20260808,"H1","completed",0,3.164546251297,100851712,1800,4294967296,0,5580,45,"b628a939420fff1543b349515860d50bfdeb97686fc4a53552bb1f77f5d1a19a","2fc9d3e2c054f50b175c38b056fb6dbbcdf03f7f8cb71cb20ad4389c24425dc1","d7fe6d8e203e1288a21e8e0d03ffd2625423a4a579788e3bcd34ae9b8e22170b",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",9,9,"existing_selectedfit_data_exact500",20260809,"H0","completed",0,3.05623340606689,101191680,1800,4294967296,0,5580,45,"3c8c0c5e47f0d25ecf90a68ff11812ab4f8ba61d02e98141555e50c9330bdeec","b46a0f0821fecf558943cc14ed45b685e2a7a18761d860fa1a1214dabaf80509","03a559dad2a986de19e5878d94e0f484ed319b0fe61f77f1ff3305603c721b44",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",10,10,"existing_selectedfit_data_exact500",20260809,"H1","completed",0,3.04963970184326,100909056,1800,4294967296,0,5580,45,"19f57b38022ec529dd78de1216cb5b05cc635758f4c85c335a0e5ea4612ee3a9","1045d1d2baaa47e1f355cd1cb55879bc3db85c20ac1bd1fb237d53e315ce39d5","8da0e570b1db0a68bae8887b46b57bf7966fa65b3f8a0cf32893ad9812eb9d9b",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",11,11,"allqc_data_exact500",20260805,"H0","completed",0,5.41984081268311,99500032,1800,4294967296,0,5580,45,"f354d377ae350391cfc4dd1ae4cdbb217c2f270ebe3060689d19617c126b8542","fc17cfd9fff24a00d4b5b1df288d55533a14d44ab7b249fba69ef1caf8842d7d","44a5878541f4737bcd67671d4ba63041e8a439facbc575688f8215b7bc1c6e81",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",12,12,"allqc_data_exact500",20260805,"H1","completed",0,5.40732502937317,99778560,1800,4294967296,0,5580,45,"e0795cf39476c730aed0f221ba58b5ec69674242f2893d45f6485dade5540e75","662988cdbbea83e9e85b70388fe436d0fcbbbf3529b95fb8fd1f4711135b03c0","f0c38a8f9bd6dee85f4516a751f20cdd30c2e5b17ffc281d626d37c92549160c",1,0,FALSE,FALSE,FALSE
"mv10e_resource_ledger_v1",13,13,"allqc_data_exact500",20260806,"H0","completed",0,5.53957152366638,99258368,1800,4294967296,0,5580,45,"47a0af5f1beddec20a7ff25a9dfaaafc8331c2d8429470928ea9dd2f21c95a95","477d560a4c7d6d7604be877239f5202f926a425cb8fc3e67035e15485bab21e1","941fec0bf5d07bcb9b06694dc054010a6aaeca2829d112a4650aa1fe9f46a1d7",1,0,FALSE,FALSE,FALSE
